transaction_id,날짜,금액,결제처,카테고리,비고,결제수단,결제구분,원거래통화,원거래금액,source_type,collect_status,구매항목
tx_260700_01,,0,,,,,개인결제,,,receipt,확인 필요,
tx_260700_02,,0,,,,,개인결제,,,receipt,확인 필요,
tx_260700_03,,-1850000,,,,카드,개인결제,,,receipt,확인 필요,
tx_240721_01,2024-07-21,-27500,스마트스토어_궁구왕,,,현대카드(2A45),개인결제,,,receipt,확인됨,음식
tx_260202_01,2026-02-02,-67302,쿠팡,,"포인트 적립 1,346원",하나카드,개인결제,,,card_excel,확인됨,
tx_260203_01,2026-02-03,-15674,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260204_01,2026-02-04,-42512,쿠팡,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260207_01,2026-02-07,-114674,무신사,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260207_02,2026-02-07,-85566,무신사,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260208_01,2026-02-08,-13334,GS25 학동역점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260209_01,2026-02-09,-23787,교촌치킨,,포인트 적립 476원,하나카드,개인결제,,,card_excel,확인됨,
tx_260209_02,2026-02-09,-20572,CGV,,포인트 적립 411원,하나카드,개인결제,,,card_excel,확인됨,
tx_260209_03,2026-02-09,-2058,파리바게뜨,,포인트 적립 41원,하나카드,개인결제,,,card_excel,확인됨,
tx_260213_01,2026-02-13,-85589,이마트 성수점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260215_01,2026-02-15,-22805,교촌치킨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260215_02,2026-02-15,-14455,GS25 학동역점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260217_01,2026-02-17,-17000,넷플릭스,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260218_01,2026-02-18,-4291,다이소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260218_02,2026-02-18,-34431,쿠팡,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260220_01,2026-02-20,-84082,무신사,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260221_01,2026-02-21,-17483,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260224_01,2026-02-24,-12819,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260224_02,2026-02-24,-24144,올리브영,,포인트 적립 483원,하나카드,개인결제,,,card_excel,확인됨,
tx_260210_01,2026-02-25,-130800,하이마트 강남점,,"할부 1/6 (원금 120,000 + 수수료 10,800), 총액 720,000",하나카드,개인결제,,,card_excel,확인됨,
tx_260226_01,2026-02-26,-7608,스타벅스 강남점,,포인트 적립 152원,하나카드,개인결제,,,card_excel,확인됨,
tx_260227_01,2026-02-27,-18415,파리바게뜨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260227_02,2026-02-27,-36252,올리브영,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260227_03,2026-02-27,-6252,GS25 학동역점,,포인트 적립 125원,하나카드,개인결제,,,card_excel,확인됨,
tx_260301_01,2026-03-01,-29432,올리브영,,포인트 적립 589원,하나카드,개인결제,,,card_excel,확인됨,
tx_260303_01,2026-03-03,-25885,교촌치킨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260303_02,2026-03-03,-6250,GS25 학동역점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260304_01,2026-03-04,-22559,교촌치킨,,포인트 적립 451원,하나카드,개인결제,,,card_excel,확인됨,
tx_260305_01,2026-03-05,-4296,GS25 학동역점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260306_01,2026-03-06,-10561,김밥천국,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260306_02,2026-03-06,-45031,네이버페이,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260307_01,2026-03-07,-9817,배달의민족,,포인트 적립 196원,하나카드,개인결제,,,card_excel,확인됨,
tx_260308_01,2026-03-08,-8930,다이소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260308_02,2026-03-08,-18796,올리브영,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260309_01,2026-03-09,-16669,파리바게뜨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260311_01,2026-03-11,-6953,스타벅스 강남점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260311_02,2026-03-11,-19196,올리브영,,포인트 적립 384원,하나카드,개인결제,,,card_excel,확인됨,
tx_260312_01,2026-03-12,-17000,넷플릭스,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260313_01,2026-03-13,-13986,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260314_01,2026-03-14,-23902,교촌치킨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260315_01,2026-03-15,-16479,파리바게뜨,,포인트 적립 330원,하나카드,개인결제,,,card_excel,확인됨,
tx_260316_01,2026-03-16,-15348,카카오T,,포인트 적립 307원,하나카드,개인결제,,,card_excel,확인됨,
tx_260317_01,2026-03-17,-15160,CGV,,포인트 적립 303원,하나카드,개인결제,,,card_excel,확인됨,
tx_260318_01,2026-03-18,-22735,교촌치킨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260318_02,2026-03-18,-23040,네이버페이,,포인트 적립 461원,하나카드,개인결제,,,card_excel,확인됨,
tx_260319_01,2026-03-19,-69478,SK주유소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260321_01,2026-03-21,-70185,SK주유소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260321_02,2026-03-21,-13532,GS25 학동역점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260322_01,2026-03-22,-10268,김밥천국,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260324_01,2026-03-24,-7286,스타벅스 강남점,,포인트 적립 146원,하나카드,개인결제,,,card_excel,확인됨,
tx_260324_02,2026-03-24,-23226,쿠팡,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260210_01,2026-03-25,-129000,하이마트 강남점,,"할부 2/6 (원금 120,000 + 수수료 9,000), 총액 720,000",하나카드,개인결제,,,card_excel,확인됨,
tx_260325_01,2026-03-25,-61403,SK주유소,,"포인트 적립 1,228원",하나카드,개인결제,,,card_excel,확인됨,
tx_260325_02,2026-03-25,-81822,쿠팡,,"포인트 적립 1,636원",하나카드,개인결제,,,card_excel,확인됨,
tx_260326_01,2026-03-26,-24925,네이버페이,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260327_01,2026-03-27,-21779,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260327_02,2026-03-27,-23894,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260401_01,2026-04-01,-11333,김밥천국,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260401_02,2026-04-01,-46444,SK주유소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260402_01,2026-04-02,-17785,다이소,,포인트 적립 356원,하나카드,개인결제,,,card_excel,확인됨,
tx_260402_02,2026-04-02,-14936,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260402_03,2026-04-02,-15938,카카오T,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260403_01,2026-04-03,-4958,스타벅스 강남점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260404_01,2026-04-04,-41461,올리브영,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260405_01,2026-04-05,-7848,김밥천국,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260405_02,2026-04-05,-30128,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260405_03,2026-04-05,-14041,카카오T,,포인트 적립 281원,하나카드,개인결제,,,card_excel,확인됨,
tx_260406_01,2026-04-06,-13912,카카오T,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260407_01,2026-04-07,-19144,네이버페이,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260407_02,2026-04-07,-18272,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260407_03,2026-04-07,-17000,넷플릭스,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260409_01,2026-04-09,-6099,스타벅스 강남점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260409_02,2026-04-09,-17910,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260409_03,2026-04-09,-17438,카카오T,,포인트 적립 349원,하나카드,개인결제,,,card_excel,확인됨,
tx_260410_01,2026-04-10,-39217,올리브영,,포인트 적립 784원,하나카드,개인결제,,,card_excel,확인됨,
tx_260411_01,2026-04-11,-10745,김밥천국,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260412_01,2026-04-12,-49340,SK주유소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260412_02,2026-04-12,-12570,무신사,,포인트 적립 251원,하나카드,개인결제,,,card_excel,확인됨,
tx_260414_01,2026-04-14,-12673,파리바게뜨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260415_01,2026-04-15,-19940,올리브영,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260415_02,2026-04-15,-13220,쿠팡,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260416_01,2026-04-16,-78269,이마트 성수점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260416_02,2026-04-16,-61561,SK주유소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260417_01,2026-04-17,-32455,이마트 성수점,,포인트 적립 649원,하나카드,개인결제,,,card_excel,확인됨,
tx_260418_01,2026-04-18,-14400,배달의민족,,포인트 적립 288원,하나카드,개인결제,,,card_excel,확인됨,
tx_260420_01,2026-04-20,-33981,이마트 성수점,,포인트 적립 680원,하나카드,개인결제,,,card_excel,확인됨,
tx_260420_02,2026-04-20,-17604,올리브영,,포인트 적립 352원,하나카드,개인결제,,,card_excel,확인됨,
tx_260421_01,2026-04-21,-13657,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260421_02,2026-04-21,-4012,GS25 학동역점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260423_01,2026-04-23,-17038,파리바게뜨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260424_01,2026-04-24,-11989,GS25 학동역점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260210_01,2026-04-25,-127200,하이마트 강남점,,"할부 3/6 (원금 120,000 + 수수료 7,200), 총액 720,000",하나카드,개인결제,,,card_excel,확인됨,
tx_260425_01,2026-04-25,-4882,스타벅스 강남점,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260501_01,2026-05-01,-29609,올리브영,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260502_01,2026-05-02,-24535,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260504_01,2026-05-04,-14452,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260504_02,2026-05-04,-46253,SK주유소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260506_01,2026-05-06,-21203,교촌치킨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260506_02,2026-05-06,-32485,올리브영,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260507_01,2026-05-07,-9350,김밥천국,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260509_01,2026-05-09,-8378,다이소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260511_01,2026-05-11,-24209,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260513_01,2026-05-13,-23672,교촌치킨,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260514_01,2026-05-14,-26818,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260514_02,2026-05-14,-80114,무신사,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260514_03,2026-05-14,-14112,GS25 학동역점,,포인트 적립 282원,하나카드,개인결제,,,card_excel,확인됨,
tx_260514_04,2026-05-14,-17000,넷플릭스,,포인트 적립 340원,하나카드,개인결제,,,card_excel,확인됨,
tx_260514_05,2026-05-14,-10143,카카오T,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260515_01,2026-05-15,-7976,CGV,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260517_01,2026-05-17,-21840,배달의민족,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260518_01,2026-05-18,-10326,김밥천국,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260519_01,2026-05-19,-50851,SK주유소,,,하나카드,개인결제,,,card_excel,확인됨,
tx_260519_02,2026-05-19,-24622,배달의민족,,포인트 적립 492원,하나카드,개인결제,,,card_excel,확인됨,
