이용일자,이용가맹점,이용금액,할부기간,회차,원금,수수료,이용혜택,혜택금액,결제후잔액,포인트
2026-02-10,하이마트 강남점,720000,6개월,3/6,120000,7200,없음,0,360000,600
2026-04-01,한솥도시락,11333,일시불,-,11333,0,없음,0,0,57
2026-04-01,SK주유소,46444,일시불,-,46444,0,없음,0,0,232
2026-04-02,다이소,17785,일시불,-,17785,0,포인트 적립,356,0,89
2026-04-02,롯데시네마 수유,14936,일시불,-,14936,0,없음,0,0,75
2026-04-02,카카오T,15938,일시불,-,15938,0,없음,0,0,80
2026-04-03,스타벅스 강남점,4958,일시불,-,4958,0,없음,0,0,25
2026-04-04,올리브영,41461,일시불,-,41461,0,없음,0,0,207
2026-04-05,한솥도시락,7848,일시불,-,7848,0,없음,0,0,39
2026-04-05,쿠팡이츠,30128,일시불,-,30128,0,없음,0,0,151
2026-04-05,카카오T,14041,일시불,-,14041,0,포인트 적립,281,0,70
2026-04-06,카카오T,13912,일시불,-,13912,0,없음,0,0,70
2026-04-07,네이버페이,19144,일시불,-,19144,0,없음,0,0,96
2026-04-07,롯데시네마 수유,18272,일시불,-,18272,0,없음,0,0,91
2026-04-07,넷플릭스,17000,일시불,-,17000,0,없음,0,0,85
2026-04-09,스타벅스 강남점,6099,일시불,-,6099,0,없음,0,0,30
2026-04-09,롯데시네마 수유,17910,일시불,-,17910,0,없음,0,0,90
2026-04-09,카카오T,17438,일시불,-,17438,0,포인트 적립,349,0,87
2026-04-10,올리브영,39217,일시불,-,39217,0,포인트 적립,784,0,196
2026-04-11,한솥도시락,10745,일시불,-,10745,0,없음,0,0,54
2026-04-12,SK주유소,49340,일시불,-,49340,0,없음,0,0,247
2026-04-12,29CM,12570,일시불,-,12570,0,포인트 적립,251,0,63
2026-04-14,뚜레쥬르 대치점,12673,일시불,-,12673,0,없음,0,0,63
2026-04-15,올리브영,19940,일시불,-,19940,0,없음,0,0,100
2026-04-15,마켓컬리,13220,일시불,-,13220,0,없음,0,0,66
2026-04-16,롯데마트 서울역점,78269,일시불,-,78269,0,없음,0,0,391
2026-04-16,SK주유소,61561,일시불,-,61561,0,없음,0,0,308
2026-04-17,롯데마트 서울역점,32455,일시불,-,32455,0,포인트 적립,649,0,162
2026-04-18,쿠팡이츠,14400,일시불,-,14400,0,포인트 적립,288,0,72
2026-04-20,롯데마트 서울역점,33981,일시불,-,33981,0,포인트 적립,680,0,170
2026-04-20,올리브영,17604,일시불,-,17604,0,포인트 적립,352,0,88
2026-04-21,쿠팡이츠,13657,일시불,-,13657,0,없음,0,0,68
2026-04-21,CU 삼성역점,4012,일시불,-,4012,0,없음,0,0,20
2026-04-23,뚜레쥬르 대치점,17038,일시불,-,17038,0,없음,0,0,85
2026-04-24,CU 삼성역점,11989,일시불,-,11989,0,없음,0,0,60
2026-04-25,스타벅스 강남점,4882,일시불,-,4882,0,없음,0,0,24
