이용일자,이용가맹점,이용금액,할부기간,회차,원금,수수료,이용혜택,혜택금액,결제후잔액,포인트
2026-02-10,하이마트 강남점,720000,6개월,2/6,120000,9000,없음,0,480000,600
2026-03-01,올리브영,29432,일시불,-,29432,0,포인트 적립,589,0,147
2026-03-03,교촌치킨,25885,일시불,-,25885,0,없음,0,0,129
2026-03-03,GS25 학동역점,6250,일시불,-,6250,0,없음,0,0,31
2026-03-04,교촌치킨,22559,일시불,-,22559,0,포인트 적립,451,0,113
2026-03-05,GS25 학동역점,4296,일시불,-,4296,0,없음,0,0,21
2026-03-06,김밥천국,10561,일시불,-,10561,0,없음,0,0,53
2026-03-06,네이버페이,45031,일시불,-,45031,0,없음,0,0,225
2026-03-07,배달의민족,9817,일시불,-,9817,0,포인트 적립,196,0,49
2026-03-08,다이소,8930,일시불,-,8930,0,없음,0,0,45
2026-03-08,올리브영,18796,일시불,-,18796,0,없음,0,0,94
2026-03-09,파리바게뜨,16669,일시불,-,16669,0,없음,0,0,83
2026-03-11,스타벅스 강남점,6953,일시불,-,6953,0,없음,0,0,35
2026-03-11,올리브영,19196,일시불,-,19196,0,포인트 적립,384,0,96
2026-03-12,넷플릭스,17000,일시불,-,17000,0,없음,0,0,85
2026-03-13,배달의민족,13986,일시불,-,13986,0,없음,0,0,70
2026-03-14,교촌치킨,23902,일시불,-,23902,0,없음,0,0,120
2026-03-15,파리바게뜨,16479,일시불,-,16479,0,포인트 적립,330,0,82
2026-03-16,카카오T,15348,일시불,-,15348,0,포인트 적립,307,0,77
2026-03-17,CGV,15160,일시불,-,15160,0,포인트 적립,303,0,76
2026-03-18,교촌치킨,22735,일시불,-,22735,0,없음,0,0,114
2026-03-18,네이버페이,23040,일시불,-,23040,0,포인트 적립,461,0,115
2026-03-19,SK주유소,69478,일시불,-,69478,0,없음,0,0,347
2026-03-21,SK주유소,70185,일시불,-,70185,0,없음,0,0,351
2026-03-21,GS25 학동역점,13532,일시불,-,13532,0,없음,0,0,68
2026-03-22,김밥천국,10268,일시불,-,10268,0,없음,0,0,51
2026-03-24,스타벅스 강남점,7286,일시불,-,7286,0,포인트 적립,146,0,36
2026-03-24,쿠팡,23226,일시불,-,23226,0,없음,0,0,116
2026-03-25,SK주유소,61403,일시불,-,61403,0,포인트 적립,1228,0,307
2026-03-25,쿠팡,81822,일시불,-,81822,0,포인트 적립,1636,0,409
2026-03-26,네이버페이,24925,일시불,-,24925,0,없음,0,0,125
2026-03-27,배달의민족,21779,일시불,-,21779,0,없음,0,0,109
2026-03-27,배달의민족,23894,일시불,-,23894,0,없음,0,0,119
